date,daily_num_reviews,daily_avg_rating
2020-10-05,15,4.2
2020-10-06,11,4.27
2020-10-07,16,4.44
2020-10-08,20,4.3
2020-10-09,11,3.45
2020-10-10,15,3.93
2020-10-11,11,4.18
2020-10-12,23,4.09
2020-10-13,10,4.1
2020-10-14,9,3.67
2020-10-15,19,4.26
2020-10-16,14,3.5
2020-10-17,21,4.1
2020-10-18,16,3.44
2020-10-19,14,4.07
2020-10-20,12,3.83
2020-10-21,25,3.64
2020-10-22,13,4.23
2020-10-23,15,4.2
2020-10-24,14,3.86
2020-10-25,17,4.53
2020-10-26,18,3.5
2020-10-27,15,4.27
2020-10-28,14,4.14
2020-10-29,21,4.62
2020-10-30,14,4.21
2020-10-31,5,3.6
2020-11-01,16,4.25
2020-11-02,12,4.08
2020-11-03,10,4.4
2020-11-04,18,4.28
2020-11-05,16,3.94
2020-11-06,13,4.38
2020-11-07,15,4.33
2020-11-08,10,4.5
2020-11-09,13,4.31
2020-11-10,16,4.75
2020-11-11,10,4.5
2020-11-12,15,4.33
2020-11-13,12,4.58
2020-11-14,19,4.16
2020-11-15,10,4.9
2020-11-16,14,4.86
2020-11-17,8,3.5
2020-11-18,19,4.58
2020-11-19,10,4.2
2020-11-20,14,3.86
2020-11-21,16,3.81
2020-11-22,15,4.47
2020-11-23,17,4.47
2020-11-24,11,4.45
2020-11-25,14,4.57
2020-11-26,11,3.36
2020-11-27,6,4.67
2020-11-28,12,4.92
2020-11-29,14,4.79
2020-11-30,16,3.62
2020-12-01,24,4.21
2020-12-02,18,4.33
2020-12-03,22,4.41
2020-12-04,18,4.39
2020-12-05,12,4.33
2020-12-06,15,3.53
2020-12-07,13,4.0
2020-12-08,14,4.36
2020-12-09,11,3.82
2020-12-10,18,4.67
2020-12-11,9,3.33
2020-12-12,10,4.4
2020-12-13,8,4.5
2020-12-14,13,4.46
2020-12-15,20,4.2
2020-12-16,12,4.25
2020-12-17,16,4.31
2020-12-18,7,3.14
2020-12-19,12,4.75
2020-12-20,13,4.23
2020-12-21,10,4.6
2020-12-22,20,4.15
2020-12-23,10,4.4
2020-12-24,9,4.44
2020-12-25,8,3.75
2020-12-26,8,3.75
2020-12-27,17,4.0
2020-12-28,9,3.89
2020-12-29,11,4.36
2020-12-30,7,4.86
2020-12-31,8,4.5
2021-01-01,8,3.75
2021-01-02,10,5.0
2021-01-03,11,3.36
2021-01-04,19,3.47
2021-01-05,16,4.19
2021-01-06,14,3.57
2021-01-07,14,3.79
2021-01-08,14,4.29
2021-01-09,11,3.27
2021-01-10,10,3.6
2021-01-11,16,4.56
2021-01-12,9,3.44
2021-01-13,8,4.25
2021-01-14,18,4.06
2021-01-15,15,4.73
2021-01-16,11,3.91
2021-01-17,13,4.69
2021-01-18,13,4.31
2021-01-19,10,4.1
2021-01-20,23,4.17
2021-01-21,21,4.14
2021-01-22,21,4.38
2021-01-23,12,3.67
2021-01-24,17,3.47
2021-01-25,17,4.41
2021-01-26,14,4.07
2021-01-27,18,4.61
2021-01-28,23,4.43
2021-01-29,19,4.05
2021-01-30,13,3.85
2021-01-31,15,3.87
2021-02-01,16,4.81
2021-02-02,21,4.19
2021-02-03,20,4.25
2021-02-04,17,4.35
2021-02-05,14,4.71
2021-02-06,18,4.0
2021-02-07,12,3.08
2021-02-08,7,4.0
2021-02-09,12,4.5
2021-02-10,15,3.8
2021-02-11,13,3.85
2021-02-12,23,3.22
2021-02-13,9,4.44
2021-02-14,12,4.33
2021-02-15,14,4.14
2021-02-16,14,4.14
2021-02-17,15,4.4
2021-02-18,8,4.62
2021-02-19,15,3.67
2021-02-20,12,3.83
2021-02-21,8,3.5
2021-02-22,13,4.31
2021-02-23,28,4.0
2021-02-24,17,4.35
2021-02-25,19,4.11
2021-02-26,12,4.67
2021-02-27,22,4.32
2021-02-28,8,4.12
2021-03-01,28,4.29
2021-03-02,12,4.75
2021-03-03,17,4.35
2021-03-04,26,4.12
2021-03-05,15,3.73
2021-03-06,11,4.55
2021-03-07,18,4.44
2021-03-08,8,4.12
2021-03-09,18,4.06
2021-03-10,7,5.0
2021-03-11,19,4.0
2021-03-12,15,4.13
2021-03-13,16,3.62
2021-03-14,9,3.22
2021-03-15,20,3.85
2021-03-16,14,4.64
2021-03-17,17,4.65
2021-03-18,22,4.36
2021-03-19,19,4.21
2021-03-20,10,4.3
2021-03-21,17,4.12
2021-03-22,11,4.55
2021-03-23,26,4.15
2021-03-24,16,4.25
2021-03-25,18,4.06
2021-03-26,10,3.9
2021-03-27,15,4.53
2021-03-28,4,4.5
2021-03-29,10,4.1
2021-03-30,26,4.12
2021-03-31,24,4.25
2021-04-01,20,3.95
2021-04-02,15,2.93
